id,group,time,score
1,Y_glucan,t1,7.56
2,Y_glucan,t1,
3,Y_glucan,t1,4.025
4,Y_glucan,t1,6.825
5,Y_glucan,t1,1.6065
6,Y_glucan,t1,14.1575
7,Y_glucan,t1,21.294
8,Y_glucan,t1,6.8005
1,Y_glucan,t2,7.0875
2,Y_glucan,t2,11.7145
3,Y_glucan,t2,19.5895
4,Y_glucan,t2,3.8745
5,Y_glucan,t2,14.98
6,Y_glucan,t2,15.0885
7,Y_glucan,t2,8.981
8,Y_glucan,t2,8.5995
1,Control,t1,2.1735
2,Control,t1,1.736
3,Control,t1,1.841
4,Control,t1,5.9045
5,Control,t1,7.7035
6,Control,t1,9.044
7,Control,t1,4.2735
8,Control,t1,4.6165
1,Control,t2,9.2715
2,Control,t2,17.0065
3,Control,t2,7.077
4,Control,t2,15.0885
5,Control,t2,18.69
6,Control,t2,25.34
7,Control,t2,19.46
8,Control,t2,11.823
